Not for a while:
leg_brokenpromises Unique_Ring_006_p2
leg_bootsofdisregard ~
leg_deathsbargain Unique_Pants_102_x1
leg_theessofjohan Unique_Amulet_104_x1
leg_sunder Unique_Mace_2H_006_x1
leg_bloodmagicedge Unique_Dagger_006_x1

Not yet:
leg_skywarden Unique_Mace_2H_010_x1
leg_bovinebardiche Unique_Polearm_101_x1
leg_hauntofvaxo Unique_Amulet_101_x1
leg_corruptedashbringer Unique_Sword_2H_104_x1
leg_maximus Unique_Sword_2H_010_x1
leg_genzaniku Unique_Axe_1H_003_x1
leg_skycutter Unique_Sword_1H_004_x1
leg_thegrinreaper Unique_VoodooMask_002_x1
leg_jawbreaker Unique_Fist_101_x1
leg_skullofresonance Unique_Helm_004_x1
leg_fjordcutter Unique_Mighty_1H_006_x1
leg_remorseless Unique_Mighty_1H_102_x1
